id,Temperature,Humidity,Light,CO2,HumidityRatio,Occupied
1,23.18,27.272,426,721.25,0.004792988,yes
2,23.15,27.2675,429.5,714,0.004783441,yes
3,23.15,27.245,426,713.5,0.004779464,yes
4,23.15,27.2,426,708.25,0.004771509,yes
5,23.1,27.2,426,704.5,0.004756993,yes
6,23.1,27.2,419,701,0.004756993,yes
7,23.1,27.2,419,701.6666667,0.004756993,yes
8,23.1,27.2,419,699,0.004756993,yes
9,23.1,27.2,419,689.3333333,0.004756993,yes
10,23.075,27.175,419,688,0.004745351,yes
11,23.075,27.15,419,690.25,0.004740952,yes
12,23.1,27.1,419,691,0.004739371,yes
13,23.1,27.16666667,419,683.5,0.004751119,yes
14,23.05,27.15,419,687.5,0.004733732,yes
15,23,27.125,419,686,0.004714942,yes
16,23,27.125,418.5,680.5,0.004714942,yes
17,23,27.2,0,681.5,0.004728078,no
18,22.945,27.29,0,685,0.004727951,no
19,22.945,27.39,0,685,0.004745408,no
20,22.89,27.39,0,689,0.004729506,no
21,22.89,27.39,0,689.5,0.004729506,no
22,22.89,27.39,0,689,0.004729506,no
23,22.89,27.445,0,691,0.004739076,no
24,22.89,27.5,0,688,0.004748645,no
25,22.89,27.5,0,689.5,0.004748645,no
26,22.79,27.445,0,689,0.004710224,no
27,22.79,27.5,0,685.6666667,0.004719735,no
28,22.79,27.5,0,687,0.004719735,no
29,22.79,27.5,0,688,0.004719735,no
30,22.745,27.5,0,670,0.004706776,no
31,22.7,27.46333333,0,668.6666667,0.004687543,no
32,22.7,27.5,0,670,0.004693849,no
33,22.7,27.5,0,667,0.004693849,no
34,22.66666667,27.42666667,0,664.5,0.004671708,no
35,22.7,27.6,0,670,0.004711047,no
36,22.6,27.42666667,0,670.3333333,0.004652699,no
37,22.6,27.39,0,672,0.004646433,no
38,22.6,27.35666667,0,658,0.004640736,no
39,22.6,27.445,0,660.5,0.004655833,no
40,22.6,27.42666667,0,658,0.004652699,no
41,22.6,27.445,0,655,0.004655833,no
42,22.6,27.445,0,654.25,0.004655833,no
43,22.6,27.39,0,648,0.004646433,no
44,22.5,27.32333333,0,648.6666667,0.004606763,no
